"created_at","text","location","time_zone","lang","geo","place","followers_count","friends_count","listed_count","favourites_count","statuses_count","retweet_count","reply_count","retweeted"
"Wed Nov 22 18:06:45 +0000 2017","#ENVIVO Ahora por #AndinaCanalOnline #DestinoPeru: José Ibarcerna, Jefe de la Oficina de Turismo, nos comenta sobre… https://t.co/AWI5DcdRwl","Lima","Quito","es",,,457065,2470,1951,2085,2085,0,0,false
"Wed Nov 22 18:06:53 +0000 2017","RT @Albert_Rivera: Mientras Puigdemont hace 'turismo a la fuga', en CAT ⬆️el desempleo, se van las empresas y se ahonda la fractura so… ","Extremadura, España 🍊🇪🇸🇪🇺","Madrid","es",,,127,120,0,5252,5252,0,0,false
"Wed Nov 22 18:06:53 +0000 2017","RT @polancojaimea: Hoy viceministra @sahowardt lidera reunión de la mesa de Turismo, Paz y Convivencia: Vichada, Cauca, Bolivar y Caqu… ","Medellin - Bogotá","Bogota","es",,,790,1837,22,4505,4505,0,0,false
"Wed Nov 22 18:06:58 +0000 2017","RT @AMETRD: DIGESETT=AMET realiza conferencia ""El Ordenamiento del Tráfico Vehicular como parte integral del Turismo Sostenible… ","Dominican Republic","Pacific Time (US & Canada)","es",,,1,0,0,0,0,0,0,false
"Wed Nov 22 18:07:02 +0000 2017","Jackson Kayak se encuentra en #SanJuan para participar del 2017 ICF Freestyle Kayak WC - San Juan Argentina conoce… https://t.co/61TR1SGrXa","San Juan",,"es",,,1879,351,6,270,270,0,0,false
"Wed Nov 22 18:07:08 +0000 2017","RT @Ayto_de_Najera: El próximo 25 de noviembre a las 13 horas, los asistentes a INTUR (Feria Internacional del Turismo de Interior),... htt…","Nájera-La Rioja",,"es",,,323,664,8,1988,1988,0,0,false
"Wed Nov 22 18:07:09 +0000 2017","RT @aldiagt: Entregan al @MineducGT el plan de estudios para Bachillerato con Orientación en Turismo. \n\nVía: @AGN_noticias https://t.co/5L5…","Guatemala",,"es",,,23199,351,81,120,120,0,0,false
"Wed Nov 22 18:07:10 +0000 2017","Jeux vidéo : des nouveautés pour Gran Turismo Sport https://t.co/BGRjd7Diq1 https://t.co/PCQfak7sgD","France","Pacific Time (US & Canada)","fr",,,10508,1057,99,249,249,0,0,false
"Wed Nov 22 18:07:12 +0000 2017","Modo GT League y más autos llegarán a Gran Turismo Sport - LEVELUP https://t.co/x1VWkAbWa2 https://t.co/k2Xt00PR60","Madrid","Madrid","es",,,80939,52371,979,711355,711355,0,0,false
"Wed Nov 22 18:07:13 +0000 2017","RT @AGN_noticias: #INGUAT entrega al @MineducGT Plan de Estudios para Bachillerato con Orientación en Turismo- @InguatPrensa… ","Guatemala",,"es",,,23199,351,81,120,120,0,0,false
"Wed Nov 22 18:07:14 +0000 2017","RT @mariapachecomtz: - ¿Qué estudias? \n- Turismo \n- jaja y te irás a Cancún?\n- De hecho n...\n- ¿Me puedes hacer descuento en hoteles?\n-… ","Monterrey ","Eastern Time (US & Canada)","es",,,818,718,2,4662,4662,0,0,false
"Wed Nov 22 18:07:23 +0000 2017","#7: PlayStation VR - Gran Turismo Sport Bundle: PlayStation VR - Gran Turismo Sport Bundle by Sony… https://t.co/KjT0DiMqyl #Video #Game","Worldwide","Pacific Time (US & Canada)","en",,,4,0,0,0,0,0,0,false
"Wed Nov 22 18:07:24 +0000 2017","RT @gardenhotels: ¡Este año volveremos a estar en #FITUR2018! La Feria de Turismo más importante vuelve a IFEMA del 17 al 21 de Enero… ","N 39°59' 0'' / E 3°50' 0''","Madrid","es",,,1346,599,29,269,269,0,0,false
"Wed Nov 22 18:07:26 +0000 2017","RT @motorturismo: ""El Turismo antes de 1999 era un asunto de élites; ahora es un asunto de Pueblos"" #9noMotor #TodosAFitVen2017 https://t.c…","Venezuela",,"es",,,4024,4995,42,14885,14885,0,0,false
"Wed Nov 22 18:07:26 +0000 2017","RT @BalseiroLugo: ♿️ Con @Turgalicia formamos aos profesionais turísticos na tarefa construír un mundo máis accesible… ",,,"es",,,310,1542,4,387,387,0,0,false
"Wed Nov 22 18:07:29 +0000 2017","RT @pbordilli: Con @edorixi al #mercatodelcarmine per studiare progetti di valorizzazione #vermentino e #pigato \n#territorio… ",,"Amsterdam","it",,,1560,1398,19,7440,7440,0,0,false
"Wed Nov 22 18:07:33 +0000 2017","Ações reforçam Turismo de Base Comunitária https://t.co/sg9zuaJN29 https://t.co/YBg8Zu4Iz6","Brasília, DF","Brasilia","pt",,,9299,73,111,148,148,0,0,false
"Wed Nov 22 18:07:39 +0000 2017","RT @TeInvitoaOaxaca: Muchas felicidades a quienes con su música nos hacen sentir orgullosos de nuestra  identidad.\n#Oaxaca #DíaDelMúsico… ","Oaxaca, México","Pacific Time (US & Canada)","es",,,111,317,0,7580,7580,0,0,false
"Wed Nov 22 18:07:40 +0000 2017","Juan Márquez (Podemos) sobre los decepcionantes presupuestos para 2018 en cultura, turismo y deporte https://t.co/tNR3vBacWE",,,"es",,,1828,1816,38,2387,2387,0,0,false
"Wed Nov 22 18:07:49 +0000 2017","RT @RodrigMarchena: A principios 2018 iniciará alianza público-privada Ministerio @EducacionRDo y Asociación de Hoteles y Turismo de Re… ","Dominican Republic","Pacific Time (US & Canada)","es",,,0,0,0,0,0,0,0,false
"Wed Nov 22 18:07:58 +0000 2017","RT @Albert_Rivera: Mientras Puigdemont hace 'turismo a la fuga', en CAT ⬆️el desempleo, se van las empresas y se ahonda la fractura so… ",,,"es",,,342,825,8,6228,6228,0,0,false
"Wed Nov 22 18:07:59 +0000 2017","Adicionei um vídeo a uma lista de reprodução do @YouTube https://t.co/YR36AFkQ7V Turismo de Portugal lança vídeo de promoção","Espinho, Portugal","Pacific Time (US & Canada)","pt",,,0,11,0,1,1,0,0,false
"Wed Nov 22 18:08:00 +0000 2017","RT @thegranturismo: You asked, we listened. Free new cars, offline play, and new single-player mode coming to Gran Turismo Sport.\nhttps://t…",,,"en",,,207,257,7,4081,4081,0,0,false
"Wed Nov 22 18:08:01 +0000 2017","En @elconfidencial: Directo | Puigdemont aprovecha su huida para visitar Gante: bombones, regalos... \nLa cárcel par… https://t.co/Kp5QtobS78","España - Cantabria","Greenland","es",,,8236,6941,97,12940,12940,0,0,false
"Wed Nov 22 18:08:05 +0000 2017","Grupo Renova Turismo.\n\n☎️⎟Renova Turismo (19)3241.2424\n📧⎟contato@renovaturismo.com.br\n💻⎟https://t.co/lNy28QG2cK... https://t.co/UzeTumm39h","Campinas","Brasilia","pt",,,6,15,0,0,0,0,0,false
"Wed Nov 22 18:08:05 +0000 2017","❤️ #9: Maleta cabina 55cm - Trole ALISTAIR AIRO - ABS extremista Ligero - 4 ruedas - Azul marino #Viajes #Turismo https://t.co/DIOgEDNTVq","Madrid, Comunidad de Madrid",,"es",,,3,101,0,1,1,0,0,false
"Wed Nov 22 18:08:07 +0000 2017","❤️ #8: Paraguas Contra el Viento Doblado Autom¨¢tico Viaje con Paraguas con Auto Abierto y Auto Cerrado | Paraguas… https://t.co/HSjz1WJsUR","Madrid, Comunidad de Madrid",,"es",,,3,101,0,1,1,0,0,false
"Wed Nov 22 18:08:07 +0000 2017","Vacanze all’estero in Gennaio: dove andare, le migliori destinazioni https://t.co/I9XlimPLdl #turismo #viaggi… https://t.co/1SanCCATUh",,"Pacific Time (US & Canada)","it",,,1174,850,36,209,209,0,0,false
"Wed Nov 22 18:08:12 +0000 2017","Club Financiero 567 te invita a El Ágora de elEconomista.es con D. Álvaro Nadal Ministro de Energía, Turismo y Agen… https://t.co/xovtXkUEds","Velazquez, 12 Madrid 915751287",,"es",,,8017,572,60,310,310,0,0,false
"Wed Nov 22 18:08:19 +0000 2017","minturvenezuela: RT Marlenycdc: A 1 año de inaugurada la 1ra Universidad Nacional de Turismo de Venezuela, espacio… https://t.co/v081fu2Qtg",,"Greenland","es",,,4481,1369,164,549,549,0,0,false
"Wed Nov 22 18:08:19 +0000 2017","Eh, eh, eh, eh, eh.\n\nOjo.\n\nNo soy muy fan de los simuladores (soft/hard) de conducción, pero el Gran Turismo Sport… https://t.co/dryXU3PNSU","Madrid, España","Madrid","es",,,167,443,4,1199,1199,0,0,false
"Wed Nov 22 18:08:20 +0000 2017","Me ha gustado un vídeo de @YouTube (https://t.co/6qO1xFNea9 - Diseño coche F. Alonso/ Alonso custom car design - Gran Turismo","riocabado avila",,"es",,,47,188,2,38,38,0,0,false
"Wed Nov 22 18:08:21 +0000 2017","No te lo pierdasVeneXtremeTours: Hosteltur nos trae las últimas noticias en el mundo del turismo hosteltur: CEHAT:… https://t.co/HEUx4xbDlH","Madrid, Comunidad de Madrid",,"es",,,33,54,9,1,1,0,0,false
"Wed Nov 22 18:08:24 +0000 2017","Te esperamos desde el 23 al 26 de noviembre en La Perla de #Margarita para que disfrutes de la XII edición de…… https://t.co/sb9UkM1t9N","Porlamar, Venezuela","Caracas","es",,,5562,564,36,351,351,0,0,false
"Wed Nov 22 18:08:24 +0000 2017","RT @JesusCintora: Urdangarin, condenado a 6 años de cárcel y en libertad, pide que le absuelvan, porque ""no se puede demandar al olmo… ",,"Ljubljana","es",,,32,68,0,1000,1000,0,0,false
"Wed Nov 22 18:08:24 +0000 2017","Gran Turismo 5. \nhttps://t.co/iDSXd22VzU\n#gran #turismo #игры #драки #fighting #симуляторы https://t.co/lh6wvV6hZw",,,"es",,,523,0,140,0,0,0,0,false
"Wed Nov 22 18:08:33 +0000 2017","Gran Turismo Sport : le mode Carrière ""GT League"" débarquera en décembre, voici tous les détails https://t.co/9MO5b4dnpF","Prague","Belgrade","fr",,,85,154,10,0,0,0,0,false
"Wed Nov 22 18:08:33 +0000 2017","RT @JesusCintora: Urdangarin, condenado a 6 años de cárcel y en libertad, pide que le absuelvan, porque ""no se puede demandar al olmo… ","Zaragoza","Madrid","es",,,143,366,9,1366,1366,0,0,false
"Wed Nov 22 18:08:33 +0000 2017","Gran Turismo Sport vai receber campanha a solo clássica https://t.co/4LAosHTCjx","Lisboa",,"pt",,,77,155,1,0,0,0,0,false
"Wed Nov 22 18:08:38 +0000 2017","Nos encontramos a 1 día de la Feria Internacional de Turismo de Venezuela #FitVen2017 https://t.co/XKwyxGlegm","Aragua, Venezuela","Caracas","es",,,157047,76447,286,28073,28073,0,0,false
"Wed Nov 22 18:08:45 +0000 2017","@Generaldepie_ @TribunaVCF De turismo? 😂😂😂","Valencia",,"es",,,80,236,3,2152,2152,0,0,false
"Wed Nov 22 18:08:48 +0000 2017","RT @JesusCintora: Urdangarin, condenado a 6 años de cárcel y en libertad, pide que le absuelvan, porque ""no se puede demandar al olmo… ",,"Madrid","es",,,21,86,0,10557,10557,0,0,false
"Wed Nov 22 18:08:49 +0000 2017","RT @AVEMAREP: Llega el momento de hablar de #Liderazgo #Gerencia y #Cambio con @lvgarciag en #AvemarepForos @VenAmCham #gremio… ","Americas","Caracas","es",,,2550,1112,127,6392,6392,0,0,false
"Wed Nov 22 18:08:49 +0000 2017","@Renders2T update komt eraan https://t.co/Pvr4gB8QXa","Heverlee, Belgium","Brussels","nl",,,69,323,1,28,28,0,0,false
"Wed Nov 22 18:08:49 +0000 2017","Ponferrada presenta una amplia oferta de turismo activo basado en ʺpatrimonio, deporte y gastronomíaʺ\nhttps://t.co/qyvmf7YYwD","CARIPE",,"es",,,228,166,3,78,78,0,0,false
"Wed Nov 22 18:08:56 +0000 2017","RT @SinEmbargoMX: La pérdida de bosques y selvas en México subió 36% en 2016 por agro, minería y turismo, denuncia ONG… ","Ciudad de México","Mexico City","es",,,544,1511,4,3707,3707,0,0,false
"Wed Nov 22 18:08:59 +0000 2017","RT @T_interesa: Los países más peligrosos para hacer turismo el 2018 https://t.co/uGzVbggCOh https://t.co/qNEsYpOTrB","Madrid","Madrid","es",,,383,736,33,3778,3778,0,0,false
"Wed Nov 22 18:09:00 +0000 2017","RT @CiudadanosCs: 📽 @Albert_Rivera ""Mientras Puigdemont hace 'turismo a la fuga' hemos perdido la EMA, empresas y ha aumentado el des… ","Aguadulce, España",,"es",,,401,530,1,9448,9448,0,0,false
"Wed Nov 22 18:09:06 +0000 2017","Turismo invernale e Grigioni: binomio inscindibile. Diversi i mezzi per mantenerlo tale. Quello del Governo... https://t.co/QiARjHo2zr","Ticino, Switzerland","Bern","it",,,9311,356,175,10607,10607,0,0,false
"Wed Nov 22 18:09:07 +0000 2017","Paraguay se alista para reunión de comisión mundial de turismo - ADN Paraguayo https://t.co/rbpoNR504Y","Asuncion - Paraguay","Central Time (US & Canada)","es",,,1591,2908,28,1518,1518,0,0,false
"Wed Nov 22 18:09:08 +0000 2017",".@SanremoAncheNoi Daily is out! https://t.co/2ZZJFwdbHm Stories via @Mingus2011B #handimatica #turismo","Milan, italy","Rome","en",,,5692,106,1107,59484,59484,0,0,false
